"","State","County","Hispanic","White","Black","Asian","Native","Pacific","Income","TotalPop","Men","Women","Citizen","hospital_count","population_hospital_ratio"
"1","Alabama","autauga",0.85,74.5,15.35,0,0,0,50528,55221,26745,28476,40725,1,55221
"2","Alabama","baldwin",4.3,85.6,5.4,0.2,0.2,0,45859,195121,95314,99807,147695,4,48780.25
"3","Alabama","barbour",4.2,48.6,47,0,0,0,29891,26932,14497,12435,20714,2,13466
"4","Alabama","bibb",2.45,81.75,12.85,0.05,0.25,0,41063,22604,12073,10531,17495,4,5651
"5","Alabama","blount",8.1,88.2,0.4,0.1,0.1,0,43325,57710,28512,29198,42345,2,28855
"6","Alabama","bullock",0,17.2,73.1,0.2,0.1,0,31355,10678,5660,5018,8057,1,10678
"7","Alabama","butler",0,61.1,36.5,0,0,0,32282,20354,9502,10852,15581,12,1696.16666666667
"8","Alabama","calhoun",2.2,74.5,16.4,0,0,0,40354,116648,56274,60374,88612,10,11664.8
"9","Alabama","chambers",0.4,59.5,34.5,0,0,0,35515,34079,16258,17821,26462,2,17039.5
"10","Alabama","cherokee",1.25,92.4,3.9,0,0.3,0,37054.5,26008,12975,13033,20600,11,2364.36363636364
"11","Alabama","choctaw",0,55.2,43.7,0,0,0,33396.5,13395,6382,7013,10568,3,4465
"12","Alabama","clarke",0,53.4,44.4,0,0,0,29684,25070,11834,13236,19258,6,4178.33333333333
"13","Alabama","clay",2.05,80.95,15.55,0,0.5,0,31208.5,13537,6671,6866,10312,16,846.0625
"14","Alabama","cleburne",1.9,93.55,1.55,0.2,0,0,37679,15002,7334,7668,11367,1,15002
"15","Alabama","coffee",2.95,75.75,11.4,0.65,0.65,0,39451,50884,25174,25710,37575,4,12721
"16","Alabama","colbert",1.95,79.75,15.2,0.25,0.45,0,40688.5,54444,26303,28141,42075,2,27222
"17","Alabama","conecuh",1.8,45.2,45.5,0,0,0,26953,12865,6176,6689,9930,1,12865
"18","Alabama","covington",1,87.25,9.3,0,0,0,36868.5,37886,18339,19547,29358,3,12628.6666666667
"19","Alabama","crenshaw",0.95,72.7,20.95,0.45,0.6,0,35795,13938,6863,7075,10591,1,13938
"20","Alabama","cullman",3.5,92.8,0.2,0.2,0.15,0,38295,80965,40081,40884,61222,1,80965
"21","Alabama","dale",4.85,68.4,13.5,0.4,0.35,0,45625,49866,24708,25158,37331,1,49866
"22","Alabama","dallas",0,29,70.8,0,0,0,26759,42154,19450,22704,31231,32,1317.3125
"23","Alabama","dekalb",13.1,83.6,0.35,0.2,0.85,0,38470,71068,35474,35594,49341,7,10152.5714285714
"24","Alabama","elmore",2.5,75.1,21.9,0.2,0,0,48348,80763,39362,41401,61172,3,26921
"25","Alabama","escambia",0.8,66.7,26.2,0,1.4,0,34350,37935,19524,18411,29399,5,7587
"26","Alabama","etowah",2.4,79.95,8.35,0,0,0,37893.5,103766,50207,53559,78881,2,51883
"27","Alabama","fayette",0,94.5,5,0,0,0,37375,16896,8477,8419,13188,17,993.882352941176
"28","Alabama","franklin",2.4,92.5,1.7,0,0,0,35436,31634,15311,16323,22124,34,930.411764705882
"29","Alabama","geneva",4,83.65,9.5,0,0.1,0,35843,26815,13174,13641,20334,1,26815
"30","Alabama","greene",0.3,15.9,83.9,0,0,0,20492,8697,4095,4602,6669,14,621.214285714286
"31","Alabama","hale",1.05,42,54.55,0,0,0,36155,15256,7183,8073,11612,2,7628
"32","Alabama","henry",1.1,71.5,23.45,0,0,0,37790.5,17252,8259,8993,13357,8,2156.5
"33","Alabama","houston",3.1,69.15,24.7,0.3,0.25,0,36736,103534,49563,53971,77666,6,17255.6666666667
"34","Alabama","jackson",1.5,88.8,1.8,0.2,0.6,0,37989,52860,26076,26784,40758,32,1651.875
"35","Alabama","jefferson",2.1,45.4,48.1,0.2,0,0,42818,659026,311581,347445,490208,47,14021.829787234
"36","Alabama","lamar",1.1,86.5,11.5,0,0,0,35453,14133,6832,7301,11003,1,14133
"37","Alabama","lauderdale",2.05,88.3,9.25,0.5,0.35,0,41113,92737,44419,48318,72671,6,15456.1666666667
"38","Alabama","lawrence",1.3,79.7,4,0,5.8,0,39787,33586,16421,17165,26020,14,2399
