"","zip","Provider.ID","Hospital.Name","Address","City","State","County.Name","Phone.Number","Hospital.Type","Hospital.Ownership","Emergency.Services","Meets.criteria.for.meaningful.use.of.EHRs","Hospital.overall.rating","Hospital.overall.rating.footnote","Mortality.national.comparison","Mortality.national.comparison.footnote","Safety.of.care.national.comparison","Safety.of.care.national.comparison.footnote","Readmission.national.comparison","Readmission.national.comparison.footnote","Patient.experience.national.comparison","Patient.experience.national.comparison.footnote","Effectiveness.of.care.national.comparison","Effectiveness.of.care.national.comparison.footnote","Timeliness.of.care.national.comparison","Timeliness.of.care.national.comparison.footnote","Efficient.use.of.medical.imaging.national.comparison","Efficient.use.of.medical.imaging.national.comparison.footnote","Location","X","city","state","latitude","longitude"
"1",603,400079,"HOSP COMUNITARIO BUEN SAMARITANO","CARR.2 KM.1.4 AVE. SEVERIANO CUEVAS #18","AGUADILLA","PR","AGUADILLA",7876580000,"Acute Care Hospitals","Voluntary non-profit - Other",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","CARR.2 KM.1.4 AVE. SEVERIANO CUEVAS #18
AGUADILLA, PR
",11,"Aguadilla","PR",18.448619,-67.13422
"2",613,400087,"HOSPITAL DR CAYETANO COLL Y TOSTE","CARRETERA 129 KM.1 AVENIDA SAN LUIS","ARECIBO","PR","ARECIBO",7876507272,"Acute Care Hospitals","Proprietary",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Same as the national average","","Not Available","Results are not available for this reporting period","Below the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","CARRETERA 129 KM.1 AVENIDA SAN LUIS
ARECIBO, PR
",20,"Arecibo","PR",18.458093,-66.732732
"3",614,400117,"HOSPITAL DR SUSONI INC","55 PALM ST","ARECIBO","PR","ARECIBO",7876501031,"Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","55 PALM ST
ARECIBO, PR
",21,"Arecibo","PR",18.429675,-66.674506
"4",631,400010,"HOSPITAL GENERAL DE CASTANER","CARR 135 KM 64 2","CASTANER","PR","LARES",7878295010,"Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","CARR 135 KM 64 2
CASTANER, PR
",32,"Castaner","PR",18.186739,-66.85174
"5",641,400130,"HOSPITAL METROPOLITANO DE LA MONTANA","CALLE ISAAC GONZALEZ ESQUINA LEDESMA","BDA NUEVA","PR","UTUADO",7879331100,"Acute Care Hospitals","Proprietary",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","CALLE ISAAC GONZALEZ ESQUINA LEDESMA
BDA NUEVA, PR
",41,"Utuado","PR",18.268896,-66.70519
"6",674,400118,"DOCTORS' CENTER HOSPITAL, INC","MARGINAL CARRETERA NO 2, KM 47 7","MANATI","PR","MANATI",7878533322,"Acute Care Hospitals","Proprietary",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Same as the national average","","Not Available","Results are not available for this reporting period","Below the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","MARGINAL CARRETERA NO 2, KM 47 7
MANATI, PR
",66,"Manati","PR",18.426137,-66.48697
"7",674,400114,"MANATI MEDICAL CENTER DR OTERO LOPEZ","CALLE HERNANDEZ CARRION URB ATENAS","MANATI","PR","MANATI",7876213700,"Acute Care Hospitals","Proprietary",TRUE,TRUE,"2","This hospitals star rating only includes data reported on inpatient services","Same as the national average","","Not Available","Results are not available for this reporting period","Below the national average","","Not Available","Results are not available for this reporting period","Below the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","CALLE HERNANDEZ CARRION URB ATENAS
MANATI, PR
",66,"Manati","PR",18.426137,-66.48697
"8",676,400111,"HOSPITAL SAN CARLOS BORROMEO"," CALLE CONCEPCION VERA AYALA #550 S","MOCA","PR","MOCA",7878778000,"Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","CALLE CONCEPCION VERA AYALA #550 S
MOCA, PR
",67,"Moca","PR",18.37956,-67.08424
"9",681,400014,"BELLA VISTA HOSPITAL","CARR 349 KM 2 7 CERRO LAS MESAS","MAYAGUEZ","PR","MAYAGUEZ",7876526045,"Acute Care Hospitals","Voluntary non-profit - Church",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","CARR 349 KM 2 7 CERRO LAS MESAS
MAYAGUEZ, PR
",71,"Mayaguez","PR",18.219023,-67.508068
"10",681,400123,"HOSPITAL PEREA","15 DR BASORA STREET","MAYAGUEZ","PR","MAYAGUEZ",7878340101,"Acute Care Hospitals","Voluntary non-profit - Private",TRUE,TRUE,"Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","15 DR BASORA STREET
MAYAGUEZ, PR
",71,"Mayaguez","PR",18.219023,-67.508068
